value,R,G,B
0,768,768,841
1,0,0,25
2,0,0,0
3,0,0,29
4,0,0,96
5,0,0,0
6,0,0,49
7,0,0,63
8,0,0,0
9,0,0,166
10,0,0,101
11,0,0,0
12,0,0,137
13,0,1,332
14,0,0,0
15,0,2,195
16,0,2,231
17,0,1,0
18,0,5,539
19,0,0,339
20,0,2,0
21,0,8,329
22,1,15,839
23,0,12,0
24,0,17,543
25,4,18,627
26,4,26,0
27,3,35,1565
28,0,45,1354
29,10,0,0
30,6,65,1685
31,67,291,2839
32,0,331,0
33,29,302,2383
34,157,535,2957
35,313,1059,3855
36,652,1443,0
37,466,1079,3246
38,1117,1714,3530
39,2336,0,0
40,2756,3939,4882
41,2654,2384,3317
42,2271,3007,0
43,3287,2674,2777
44,4634,2416,6581
45,4239,2858,0
46,3158,3573,3010
47,2790,3716,3139
48,4813,3023,0
49,0,2923,6249
50,8060,3417,2447
51,2392,3434,0
52,3534,3902,2972
53,0,2738,5885
54,4180,3083,0
55,5453,2934,2181
56,2584,2607,2541
57,0,2769,0
58,2549,2869,5298
59,5208,2993,2083
60,2018,2693,0
61,0,2470,2237
62,2235,2366,3998
63,1860,2693,0
64,4733,2341,2572
65,0,2409,2306
66,1956,2337,4043
67,1641,4645,0
68,2328,0,2387
69,2246,2248,2214
70,1975,2307,0
71,1713,2173,4238
72,1878,2221,1966
73,2507,2194,0
74,2180,2326,2213
75,1730,4443,4869
76,1993,2292,0
77,1986,2388,2263
78,2828,0,2401
79,1968,2569,0
80,2131,2412,5407
81,2247,2474,2554
82,0,2684,0
83,5608,2450,2604
84,2495,5608,5433
85,2612,2787,0
86,0,2706,2929
87,2636,2837,3077
88,6894,0,0
89,3256,2810,5661
90,0,2930,2980
91,3589,2553,0
92,3503,3128,3888
93,10310,5506,5489
94,0,2738,0
95,4964,2750,2890
96,4307,2554,3082
97,11388,7199,0
98,0,0,5283
99,5537,3843,2637
100,5090,2692,2352
101,4283,3141,0
102,9002,8753,4645
103,5127,3527,2249
104,4624,4457,0
105,4174,3566,2164
106,4662,4530,3972
107,5167,4192,0
108,4407,0,2013
109,3494,5112,5228
110,3795,3600,0
111,0,8504,4704
112,7842,4850,2386
113,4797,3933,0
114,4136,4151,3229
115,0,4143,5442
116,7155,4545,0
117,4770,4735,2650
118,4174,0,3273
119,0,3738,0
120,2817,6863,5868
121,6883,3892,3348
122,3351,4153,0
123,0,3070,3589
124,3559,3257,8032
125,3081,2908,0
126,5702,3565,4344
127,0,3106,5239
128,3409,0,0
129,3142,6980,9516
130,2405,3208,5037
131,2284,3214,4649
132,2762,2920,0
133,2835,2796,8554
134,2380,2867,5394
135,1929,2595,0
136,2149,2562,4559
137,2330,3002,9635
138,2946,2677,0
139,1676,2320,3817
140,2345,2609,6022
141,2191,2874,0
142,2287,2214,9977
143,2515,3032,3813
144,0,2744,0
145,4120,2362,4395
146,1628,2074,7316
147,2191,2396,0
148,0,1963,2937
149,2148,1806,3431
150,2513,1550,0
151,1233,1307,6033
152,0,1235,2820
153,1665,1130,0
154,2053,982,2881
155,835,1791,5825
156,0,905,0
157,809,0,2913
158,1158,856,2501
159,1414,715,0
160,0,760,4041
161,632,659,1614
162,652,625,0
163,836,606,1207
164,518,1021,1809
165,566,492,771
166,542,476,0
167,505,0,815
168,716,378,1312
169,487,451,0
170,491,444,612
171,604,433,618
172,462,449,0
173,655,878,1374
174,429,432,578
175,449,397,0
176,360,332,588
177,0,0,1138
178,1028,407,0
179,346,365,569
180,324,408,539
181,0,361,0
182,434,763,1117
183,796,363,627
184,377,426,0
185,0,408,587
186,394,441,1194
187,286,0,0
188,862,514,588
189,0,431,635
190,402,444,0
191,278,842,1140
192,865,405,537
193,0,392,0
194,458,414,532
195,232,432,1218
196,393,392,618
197,514,0,0
198,467,419,517
199,257,388,903
200,428,798,0
201,358,395,418
202,536,309,366
203,327,371,0
204,383,403,585
205,385,399,270
206,0,364,0
207,798,0,295
208,463,382,544
209,401,710,0
210,0,397,216
211,16329,444,218
212,0,379,0
213,0,398,422
214,0,411,152
215,0,426,0
216,0,393,152
217,0,0,242
218,0,819,0
219,0,405,95
220,0,391,118
221,0,372,0
222,0,315,151
223,0,373,76
224,0,348,0
225,0,286,72
226,0,272,109
227,0,274,0
228,0,290,42
229,0,5456,37
230,0,0,42
231,0,0,0
232,0,0,36
233,0,0,20
234,0,0,0
235,0,0,32
236,0,0,9
237,0,0,0
238,0,0,10
239,0,0,18
240,0,0,0
241,0,0,10
242,0,0,7
243,0,0,0
244,0,0,8
245,0,0,4
246,0,0,0
247,0,0,2
248,0,0,4
249,0,0,0
250,0,0,0
251,0,0,1
252,0,0,0
253,0,0,1
254,0,0,1
255,0,0,3
